signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-27,2026-05-28,RCT,299.2,중립,전고점돌파,-12.0,0.6601,open,-4.58,-7.08,05:30,정보부족
2026-05-27,2026-05-28,RCT,299.2,중립,전고점돌파,-12.0,0.6251,open,0.77,-1.73,06:00,강한매도
2026-05-27,2026-05-28,RCT,299.2,중립,전고점돌파,-12.0,0.619,open,1.76,-0.74,06:30,매도주의
2026-05-27,2026-05-28,RCT,299.2,중립,전고점돌파,-12.0,0.6311,open,-0.19,-2.69,07:00,중립
2026-05-27,2026-05-28,RCT,299.2,중립,전고점돌파,-12.0,0.6273,open,0.41,-2.09,07:30,매도주의
2026-05-27,2026-05-28,RCT,299.2,중립,전고점돌파,-12.0,0.6209,open,1.45,-1.05,08:00,중립
2026-05-27,2026-05-28,RCT,299.2,중립,전고점돌파,-12.0,0.6324,open,-0.4,-2.9,08:30,매수관심
2026-05-27,2026-05-28,RCT,299.2,중립,전고점돌파,-12.0,0.636,open,-0.96,-3.46,09:00,강한매수
2026-05-27,2026-05-28,SNGX,297.1,중립,전고점돌파,-1.3,0.8544,open,-4.03,-6.53,05:30,정보부족
2026-05-27,2026-05-28,SNGX,297.1,중립,전고점돌파,-1.3,0.832,open,-1.44,-3.94,06:00,중립
2026-05-27,2026-05-28,SNGX,297.1,중립,전고점돌파,-1.3,0.8302,open,-1.23,-3.73,06:30,매도주의
2026-05-27,2026-05-28,SNGX,297.1,중립,전고점돌파,-1.3,0.8298,open,-1.18,-3.68,07:00,매도주의
2026-05-27,2026-05-28,SNGX,297.1,중립,전고점돌파,-1.3,0.792,open,3.54,1.04,07:30,매도주의
2026-05-27,2026-05-28,SNGX,297.1,중립,전고점돌파,-1.3,0.7839,open,4.61,2.11,08:00,중립
2026-05-27,2026-05-28,SNGX,297.1,중립,전고점돌파,-1.3,0.8104,open,1.18,-1.32,08:30,중립
2026-05-27,2026-05-28,SNGX,297.1,중립,전고점돌파,-1.3,0.8263,open,-0.76,-3.26,09:00,중립
2026-05-27,2026-05-28,LGHL,254.4,매수관심,전고점돌파,-4.6,0.93,open,-9.68,-12.18,05:30,정보부족
2026-05-27,2026-05-28,LGHL,254.4,매수관심,전고점돌파,-4.6,0.931,open,-9.77,-12.27,06:00,강한매도
2026-05-27,2026-05-28,LGHL,254.4,매수관심,전고점돌파,-4.6,0.8925,open,-5.88,-8.38,06:30,강한매도
2026-05-27,2026-05-28,LGHL,254.4,매수관심,전고점돌파,-4.6,0.8656,open,-2.96,-5.46,07:00,강한매도
2026-05-27,2026-05-28,LGHL,254.4,매수관심,전고점돌파,-4.6,0.8571,open,-2.0,-4.5,07:30,중립
2026-05-27,2026-05-28,LGHL,254.4,매수관심,전고점돌파,-4.6,0.8322,open,0.94,-1.56,08:00,중립
2026-05-27,2026-05-28,LGHL,254.4,매수관심,전고점돌파,-4.6,0.8537,open,-1.6,-4.1,08:30,중립
2026-05-27,2026-05-28,LGHL,254.4,매수관심,전고점돌파,-4.6,0.8415,open,-0.18,-2.68,09:00,중립
2026-05-27,2026-05-28,ATPC,226.6,매도주의,잔구간,86.0,5.3,open,8.87,6.37,05:30,정보부족
2026-05-27,2026-05-28,ATPC,226.6,매도주의,잔구간,86.0,5.0195,open,14.95,12.45,06:00,중립
2026-05-27,2026-05-28,ATPC,226.6,매도주의,잔구간,86.0,5.47,open,5.48,2.98,06:30,중립
2026-05-27,2026-05-28,ATPC,226.6,매도주의,잔구간,86.0,6.22,open,-7.23,-9.73,07:00,매수관심
2026-05-27,2026-05-28,ATPC,226.6,매도주의,잔구간,86.0,5.74,open,0.52,-1.98,07:30,매도주의
2026-05-27,2026-05-28,ATPC,226.6,매도주의,잔구간,86.0,5.98,open,-3.51,-6.01,08:00,중립
2026-05-27,2026-05-28,ATPC,226.6,매도주의,잔구간,86.0,6.29,open,-8.27,-10.77,08:30,매수관심
2026-05-27,2026-05-28,ATPC,226.6,매도주의,잔구간,86.0,5.9,open,-2.2,-4.7,09:00,중립
2026-05-27,2026-05-28,VCIG,158.6,강한매수,전고점돌파,-16.7,3.98,open,-5.78,-8.28,05:30,정보부족
2026-05-27,2026-05-28,VCIG,158.6,강한매수,전고점돌파,-16.7,4.0,open,-6.25,-8.75,06:00,매수관심
2026-05-27,2026-05-28,VCIG,158.6,강한매수,전고점돌파,-16.7,3.95,open,-5.06,-7.56,06:30,중립
2026-05-27,2026-05-28,VCIG,158.6,강한매수,전고점돌파,-16.7,3.87,open,-3.1,-5.6,07:00,중립
2026-05-27,2026-05-28,VCIG,158.6,강한매수,전고점돌파,-16.7,3.7012,open,1.32,-1.18,07:30,강한매도
2026-05-27,2026-05-28,VCIG,158.6,강한매수,전고점돌파,-16.7,3.75,open,0.0,-2.5,08:00,중립
2026-05-27,2026-05-28,VCIG,158.6,강한매수,전고점돌파,-16.7,3.64,open,3.02,0.52,08:30,매도주의
2026-05-27,2026-05-28,VCIG,158.6,강한매수,전고점돌파,-16.7,3.6,open,4.17,1.67,09:00,중립
2026-05-27,2026-05-28,AMSS,102.3,매도주의,잔구간,-10.2,5.12,open,-12.11,-14.61,05:30,정보부족
2026-05-27,2026-05-28,AMSS,102.3,매도주의,잔구간,-10.2,5.04,open,-10.71,-13.21,06:00,강한매도
2026-05-27,2026-05-28,AMSS,102.3,매도주의,잔구간,-10.2,4.55,open,-1.1,-3.6,06:30,강한매도
2026-05-27,2026-05-28,AMSS,102.3,매도주의,잔구간,-10.2,4.935,open,-8.81,-11.31,07:00,매수관심
2026-05-27,2026-05-28,AMSS,102.3,매도주의,잔구간,-10.2,4.86,open,-7.41,-9.91,07:30,중립
2026-05-27,2026-05-28,AMSS,102.3,매도주의,잔구간,-10.2,4.78,open,-5.86,-8.36,08:00,매도주의
2026-05-27,2026-05-28,AMSS,102.3,매도주의,잔구간,-10.2,5.01,open,-10.18,-12.68,08:30,중립
2026-05-27,2026-05-28,AMSS,102.3,매도주의,잔구간,-10.2,5.09,open,-11.59,-14.09,09:00,매수관심
