code,name,market,ratio,last_close,day_chg_%,latest_vol,baseline_vol,trade_value_억
009190,대양금속,KOSPI,1.5,1746.0,-7.6,343695,229491,6.0
004020,현대제철,KOSPI,1.5,29900.0,3.8,674289,441057,201.6
204270,제이앤티씨,KOSDAQ,1.5,18630.0,1.4,395121,265173,73.6
003680,한성기업,KOSPI,1.5,5900.0,-4.8,518921,354191,30.6
067630,HLB생명과학,KOSDAQ,1.5,3160.0,2.6,499168,336209,15.8
036620,감성코퍼레이션,KOSDAQ,1.5,4340.0,-2.4,481635,331149,20.9
013990,아가방컴퍼니,KOSDAQ,1.4,4970.0,1.4,160689,114588,8.0
099430,바이오플러스,KOSDAQ,1.4,3655.0,1.2,443598,310663,16.2
406820,뷰티스킨,KOSDAQ,1.4,2100.0,-3.2,465562,344506,9.8
002900,TYM,KOSPI,1.4,7380.0,3.5,536614,396049,39.6
067310,하나마이크론,KOSDAQ,1.4,36600.0,-0.1,1714544,1200797,627.5
160190,하이젠알앤엠,KOSDAQ,1.4,22900.0,8.3,411422,298952,94.2
033780,KT&G,KOSPI,1.4,176000.0,1.3,416621,287554,733.3
058430,포스코스틸리온,KOSPI,1.4,4710.0,-0.4,282544,194946,13.3
009410,태영건설,KOSPI,1.4,1636.0,1.5,318740,228293,5.2
129920,대성하이텍,KOSDAQ,1.4,7170.0,9.1,264859,191051,19.0
174900,앱클론,KOSDAQ,1.4,32350.0,4.4,276587,203785,89.5
033640,네패스,KOSDAQ,1.4,18170.0,-0.2,152234,111834,27.7
008490,서흥,KOSPI,1.4,24850.0,-9.0,165340,122193,41.1
457600,벡트,KOSDAQ,1.3,4390.0,10.9,365145,279614,16.0
091440,한울소재과학,KOSDAQ,1.3,3460.0,3.6,528335,417190,18.3
095340,ISC,KOSDAQ,1.3,161300.0,0.9,187860,146155,303.0
031330,에스에이엠티,KOSDAQ,1.3,9900.0,2.2,1384198,1066062,137.0
015750,성우하이텍,KOSDAQ,1.3,6270.0,3.1,310404,234088,19.5
215100,로보로보,KOSDAQ,1.3,4460.0,2.2,333636,259603,14.9
022100,포스코DX,KOSPI,1.3,21750.0,-0.2,286086,223055,62.2
020710,시공테크,KOSDAQ,1.3,3660.0,0.3,164116,129252,6.0
076610,해성옵틱스,KOSDAQ,1.3,1328.0,-1.9,2430547,1851779,32.3
094170,동운아나텍,KOSDAQ,1.3,33000.0,-4.5,116038,86182,38.3
001510,SK증권,KOSPI,1.3,2415.0,1.9,2534291,1950419,61.2
187660,페니트리움바이오,KOSDAQ,1.3,4330.0,-12.0,1031378,771852,44.7
138040,메리츠금융지주,KOSPI,1.3,116700.0,-1.6,324838,248089,379.1
062040,산일전기,KOSPI,1.3,182500.0,-2.9,344392,258708,628.5
003720,삼영,KOSPI,1.3,7220.0,-1.1,556756,417098,40.2
037070,파세코,KOSDAQ,1.3,5690.0,1.4,717839,541993,40.8
077970,STX엔진,KOSPI,1.3,28400.0,-0.5,219753,172977,62.4
340810,시선AI,KOSDAQ,1.3,3820.0,5.4,312084,244229,11.9
192410,오늘이엔엠,KOSDAQ,1.3,4885.0,3.6,223004,170680,10.9
456160,지투지바이오,KOSDAQ,1.3,44100.0,3.5,196853,150833,86.8
100790,미래에셋벤처투자,KOSDAQ,1.3,17500.0,-0.4,1177988,889797,206.1
460930,현대힘스,KOSDAQ,1.3,15600.0,4.5,749772,574313,117.0
001040,CJ,KOSPI,1.3,138100.0,0.4,158621,125881,219.1
462350,이노스페이스,KOSDAQ,1.2,8730.0,2.1,275125,227125,24.0
242040,나무에이엑스,KOSDAQ,1.2,3860.0,0.3,301784,252008,11.6
234340,헥토파이낸셜,KOSDAQ,1.2,20950.0,2.7,278474,240923,58.3
454910,두산로보틱스,KOSPI,1.2,79200.0,1.5,619023,532734,490.3
007660,이수페타시스,KOSPI,1.2,95600.0,-1.2,685133,592325,655.0
008770,호텔신라,KOSPI,1.2,45400.0,4.6,258404,215617,117.3
000020,동화약품,KOSPI,1.2,5310.0,3.3,171049,144461,9.1
000080,하이트진로,KOSPI,1.2,15850.0,3.1,154946,125608,24.6
144960,뉴파워프라즈마,KOSDAQ,1.2,11170.0,-10.6,2510214,2023488,280.4
377190,디앤디플랫폼리츠,KOSPI,1.2,2200.0,1.9,238041,206951,5.2
091590,남화토건,KOSDAQ,1.2,6380.0,-1.8,964977,782893,61.6
090360,로보스타,KOSDAQ,1.2,85900.0,-0.1,322815,271259,277.3
147830,제룡산업,KOSDAQ,1.2,7220.0,3.0,241966,205437,17.5
030000,제일기획,KOSPI,1.2,18980.0,1.4,339762,286097,64.5
056090,시지메드텍,KOSDAQ,1.2,1112.0,-0.7,458065,368516,5.1
093370,후성,KOSPI,1.2,12400.0,3.7,3428013,2789673,425.1
073240,금호타이어,KOSPI,1.2,8140.0,0.0,11897318,10021265,968.4
475150,SK이터닉스,KOSPI,1.2,58300.0,2.1,3801358,3227683,2216.2
230240,에치에프알,KOSDAQ,1.2,15510.0,-3.1,188330,153383,29.2
226340,본느,KOSDAQ,1.2,7450.0,14.1,3998483,3262141,297.9
112610,씨에스윈드,KOSPI,1.2,46850.0,-0.1,375072,321389,175.7
175330,JB금융지주,KOSPI,1.2,28000.0,-4.6,310199,266264,86.9
005690,파미셀,KOSPI,1.2,11910.0,-0.1,451785,383748,53.8
361610,SK아이이테크놀로지,KOSPI,1.2,15550.0,-2.1,198243,168089,30.8
124500,아이티센글로벌,KOSDAQ,1.2,27000.0,-0.6,404820,349617,109.3
005290,동진쎄미켐,KOSDAQ,1.2,43450.0,0.6,480216,402749,208.7
001430,세아베스틸지주,KOSPI,1.2,45000.0,3.3,222455,184891,100.1
482630,삼양엔씨켐,KOSDAQ,1.2,14800.0,2.7,259930,214434,38.5
004990,롯데지주,KOSPI,1.2,24300.0,3.4,167388,140039,40.7
446540,메가터치,KOSDAQ,1.1,8100.0,-2.4,223164,203452,18.1
014940,오리엔탈정공,KOSDAQ,1.1,5060.0,2.8,223875,210644,11.3
012800,대창,KOSPI,1.1,1213.0,1.4,436724,396441,5.3
001200,유진투자증권,KOSPI,1.1,4510.0,3.2,440463,414080,19.9
209640,와이제이링크,KOSDAQ,1.1,3705.0,0.4,182513,160390,6.8
490470,세미파이브,KOSDAQ,1.1,18250.0,-1.2,181780,163344,33.2
010140,삼성중공업,KOSPI,1.1,22300.0,1.4,3051125,2814939,680.4
032580,피델릭스,KOSDAQ,1.1,4050.0,-10.7,1739049,1584111,70.4
000720,현대건설,KOSPI,1.1,115800.0,1.8,493229,458053,571.2
125020,티씨머티리얼즈,KOSDAQ,1.1,6340.0,-0.2,436276,401234,27.7
003620,KG모빌리티,KOSPI,1.1,2915.0,1.9,424395,400201,12.4
002700,신일전자,KOSPI,1.1,1018.0,2.2,1373610,1270037,14.0
484810,티엑스알로보틱스,KOSDAQ,1.1,17490.0,-0.2,470804,410946,82.3
215600,신라젠,KOSDAQ,1.1,2180.0,-1.6,417602,375167,9.1
091580,상신이디피,KOSDAQ,1.1,18280.0,2.5,245328,225990,44.8
034230,파라다이스,KOSPI,1.1,9890.0,1.9,661166,611171,65.4
034020,두산에너빌리티,KOSPI,1.1,82600.0,2.1,2119063,1963326,1750.3
484590,삼양컴텍,KOSDAQ,1.1,6700.0,-0.9,166500,152438,11.2
066970,엘앤에프,KOSPI,1.1,109700.0,6.9,506428,480152,555.6
090710,휴림로봇,KOSDAQ,1.1,7470.0,-3.2,1975507,1750098,147.6
459510,나우로보틱스,KOSDAQ,1.1,17600.0,2.0,154223,146853,27.1
322310,오로스테크놀로지,KOSDAQ,1.1,15880.0,1.2,153907,136997,24.4
052020,에스티큐브,KOSDAQ,1.1,9250.0,-1.4,149801,140193,13.9
095500,미래나노텍,KOSDAQ,1.1,7500.0,0.8,148177,136290,11.1
001540,안국약품,KOSDAQ,1.1,11830.0,-5.5,175106,165862,20.7
368770,파이버프로,KOSDAQ,1.1,13340.0,-3.1,172013,152307,22.9
100590,머큐리,KOSDAQ,1.1,4140.0,1.0,253049,239289,10.5
024110,기업은행,KOSPI,1.1,20400.0,2.0,979364,900072,199.8
086790,하나금융지주,KOSPI,1.1,133000.0,1.5,667841,616305,888.2
452260,한화갤러리아,KOSPI,1.1,2125.0,1.2,821809,767829,17.5
009290,광동제약,KOSPI,1.1,6320.0,1.6,160934,153008,10.2
112040,위메이드,KOSDAQ,1.1,17180.0,-3.6,178469,155866,30.7
105560,KB금융,KOSPI,1.1,168500.0,0.2,951351,834785,1603.0
365550,ESR켄달스퀘어리츠,KOSPI,1.0,3290.0,4.6,234567,238317,7.7
