ticker,date,ratio,prior7_%,fwd_oc_%,fwd_cc_%,fwd_oc_net_%
IQST,2026-05-26,88.4,-12.3,8.3,2.6,5.8
IQST,2026-06-04,33.1,-10.5,-4.3,-5.3,-6.8
ISPC,2026-05-27,16.3,-19.3,0.0,-0.9,-2.5
IVA,2026-06-02,18.1,-21.5,4.4,-1.2,1.9
IVDA,2026-06-15,46.5,-5.6,14.4,62.9,11.9
IZM,2026-05-12,46.4,-0.5,5.2,9.2,2.7
IZM,2026-05-20,12.8,8.3,4.2,10.2,1.7
IZM,2026-06-09,17.1,9.3,95.1,90.2,92.6
IZM,2026-06-10,98.4,91.1,-6.9,-38.6,-9.4
JEM,2026-06-09,61.9,2.7,25.3,25.3,22.8
JEM,2026-06-10,15.5,17.7,14.4,7.3,11.9
JEM,2026-06-12,24.4,45.3,4.3,0.5,1.8
JFB,2026-05-28,29.5,18.2,-4.0,-6.2,-6.5
JSPR,2026-06-01,10.7,-38.8,-7.2,3.2,-9.7
JYD,2026-05-20,134.7,-81.0,24.1,5.5,21.6
JZ,2026-05-18,18.2,6.7,-2.2,-7.0,-4.7
JZXN,2026-05-11,1502.3,45.6,-13.1,-11.2,-15.6
JZXN,2026-05-12,16.2,27.2,-0.9,-3.4,-3.4
JZXN,2026-05-13,12.0,30.7,-6.3,2.6,-8.8
JZXN,2026-05-15,12.8,53.3,-5.6,-12.6,-8.1
JZXN,2026-06-01,99.2,31.4,0.8,-2.2,-1.7
JZXN,2026-06-08,37.7,10.5,-31.2,8.7,-33.7
JZXN,2026-06-09,149.0,18.1,9.3,11.7,6.8
KIDZ,2026-05-11,52.5,-42.9,9.3,-0.8,6.8
KIDZ,2026-06-10,34.7,-54.0,15.6,4.5,13.1
KIDZ,2026-06-11,12.3,-45.4,-1.1,-7.0,-3.6
KMRK,2026-06-12,34.1,-36.3,-3.3,-4.1,-5.8
KPDD,2026-05-27,15.1,-19.8,-3.8,-8.3,-6.3
KRNT,2026-05-13,11.5,2.3,-3.8,-3.9,-6.3
KUST,2026-06-03,87.3,-42.9,3.8,4.4,1.3
LABT,2026-05-18,201.0,-71.2,0.9,-8.8,-1.6
LAKE,2026-06-09,17.8,-11.8,5.4,19.0,2.9
LAKE,2026-06-10,11.1,7.6,-5.5,-4.6,-8.0
LASE,2026-06-02,342.6,168.9,-11.0,29.3,-13.5
LASE,2026-06-03,250.3,248.6,30.0,15.7,27.5
LASE,2026-06-04,38.9,315.6,-23.0,-14.4,-25.5
LBGJ,2026-06-10,15.5,14.6,1.8,-5.9,-0.7
LESL,2026-05-13,11.4,-8.3,90.2,144.8,87.7
LESL,2026-05-14,460.3,125.8,-21.9,-13.4,-24.4
LESL,2026-05-15,49.8,99.3,-13.8,-11.2,-16.3
LFVN,2026-05-27,12.7,55.7,-7.5,-4.7,-10.0
LGHL,2026-05-21,77.2,19.6,3.9,-2.7,1.4
LGHL,2026-05-27,212.1,21.6,20.2,3.6,17.7
LGHL,2026-06-11,23.3,-25.3,-24.0,-23.9,-26.5
LICN,2026-05-19,26.1,-58.9,-60.4,-61.5,-62.9
LICN,2026-05-20,23.1,-86.4,-3.3,-20.2,-5.8
LNKS,2026-05-14,256.2,1.9,-14.4,-8.6,-16.9
LNKS,2026-05-27,50.9,-7.4,14.8,29.0,12.3
LNKS,2026-05-28,38.6,20.3,-1.7,-2.2,-4.2
