sym,verdict,reason,signals,last_candle,from_low_%,near_base,name
000400.KS,✅ PASS,캔들신호 1종,위꼬리양봉,음봉스프링,21.0,,롯데손해보험
104480.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,18.0,,티케이케미칼
100090.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 양봉스프링",음봉스프링,23.0,,SK오션플랜트
216080.KQ,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,3.0,,제테마
003780.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,14.0,,진양산업
059210.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,18.0,,메타바이오메드
095910.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,43.0,,에스에너지
077500.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 상승펀치",작은몸통양꼬리양봉,41.0,,유니퀘스트
950220.KQ,✅ PASS,캔들신호 1종,위꼬리양봉,도지,19.0,,네오이뮨텍
030200.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,12.0,,KT
011700.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,17.0,,한신기계
014950.KQ,✅ PASS,캔들신호 2종,"양봉스프링, 꼬리군",-,18.0,,삼익제약
382840.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,10.0,,원준
044380.KS,✅ PASS,캔들신호 2종,"위꼬리양봉, 양봉스프링",-,12.0,,주연테크
355690.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,47.0,,에이텀
130660.KS,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,31.0,,한전산업
071090.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 꼬리군",-,19.0,,하이스틸
265740.KQ,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",위꼬리양봉,46.0,,엔에프씨
