ticker,date,o,h,l,c,v,prev_close,base_vol,gap_%,oc_%,prior_dollar_M
ETHT,2026-06-08,8.86,9.03,8.74,8.83,2608183.090618,7.77,2132432.913221,14.028314028314027,-0.3386004514672614,16.569003735727172
ETHT,2026-06-15,10.15,10.4699,10.005,10.17,3167646.179788,8.57,2515245.303536,18.436406067677947,0.19704433497536525,21.555652251303524
ETHU,2026-06-08,13.4,13.67,13.23,13.32,6666314.30703,11.75,6630407.213443,14.042553191489365,-0.5970149253731348,77.90728475795525
ETHU,2026-06-15,15.41,15.91,15.19,15.45,12080514.166946,13.01,6630407.213443,18.44734819369716,0.2595717066839659,86.26159784689342
FACWW,2026-06-11,3.5,3.5,2.06,2.45,381854.346103,3.05,715576.126537,14.754098360655746,-29.999999999999993,2.1825071859378498
FCEL,2026-06-09,18.05,19.68,16.6601,17.49,21979872.135196,15.5,9017575.858146,16.45161290322581,-3.1024930747922563,139.772425801263
FLNC,2026-06-01,23.42,28.88,23.2442,27.15,46233518.159516,18.88,7336692.373248,24.04661016949154,15.926558497011087,138.51675200692222
FLYT,2026-06-15,15.39,15.53,14.0,14.29,754570.652117,13.05,545926.308085,17.93103448275862,-7.14749837556856,7.12433832050925
FOFO,2026-06-03,4.86,7.24,4.76,6.59,3117323.669878,4.01,416532.20812649996,21.197007481296772,35.59670781893003,1.6702941545872647
FOFO,2026-06-04,7.54,8.45,5.95,6.18,810856.740873,6.59,791928.270253,14.415781487101672,-18.037135278514594,5.21880730096727
FOFO,2026-06-08,4.6,4.88,3.3,3.42,302102.735257,3.9,810856.740873,17.948717948717942,-25.652173913043473,3.1623412894047
FSOL,2026-06-15,8.71,8.965,8.63,8.88,465019.728732,7.88,366200.514998,10.53299492385788,1.9517795637198612,2.88566005818424
GLGG,2026-06-15,13.05,13.05,11.81,11.9798,63777.501402,11.8052,96203.803351,10.544505810998556,-8.200766283524915,1.135705139319225
GLXG,2026-06-15,1.68,3.21,1.56,1.88,54768412.446485,1.46,1666056.974591,15.068493150684931,11.904761904761903,2.43244318290286
GLXU,2026-06-15,15.6,15.6,13.75,13.98,147212.455903,13.74,399522.584637,13.537117903930126,-10.38461538461538,5.4894403129123805
GME.WS,2026-06-03,3.71,3.75,3.33,3.4,688622.349396,3.21,369946.5197195,15.57632398753894,-8.35579514824798,1.1875283282995948
GMEU,2026-06-03,9.4,9.7,8.595,8.67,914732.163692,7.69,175925.940289,22.23667100130039,-7.765957446808515,1.35287048082241
GMEX,2026-06-09,1.115,1.24,0.8,0.8253,37427083.208446,0.891,2658218.303707,25.14029180695847,-25.982062780269054,2.368472508602937
GMEX,2026-06-10,0.9302,1.14,0.846,0.875,12320642.334918,0.8253,2658218.303707,12.710529504422633,-5.934207697269407,2.193827566049387
GMM,2026-06-09,10.66,11.725,4.6,5.395,20349314.180854,4.52,308001.383412,135.8407079646018,-49.39024390243903,1.39216625302224
GMM,2026-06-12,4.36,4.7495,3.12,3.36,36482295.639543,2.88,734999.855121,51.38888888888891,-22.935779816513772,2.1167995827484796
GMM,2026-06-15,4.08,4.6,3.37,3.44,12205266.262973,3.36,1324694.916911,21.428571428571434,-15.686274509803924,4.4509749208209595
GNTA,2026-06-01,1.835,2.3,1.45,1.65,64614245.433155,1.03,1039806.5075749999,78.15533980582524,-10.081743869209813,1.07100070280225
