sym,date,entry,base,drop_peak_%,r20_%,r60_%,r120_%,r250_%,MFE_%,MAE_%,name
060230.KQ,2024-02-14,4510.0,베이스(완만),87.0,-7.1,-6.2,-63.2,-61.4,40.1,-64.0,제이케이시냅스
060230.KQ,2024-07-17,2176.0,베이스(완만),89.0,-3.8,-16.2,-10.0,-59.1,11.2,-61.3,제이케이시냅스
060230.KQ,2024-08-16,2348.0,베이스(완만),94.0,0.0,3.1,-20.4,-64.0,3.1,-64.1,제이케이시냅스
060230.KQ,2025-07-04,1086.0,베이스(완만),97.0,-20.3,-35.0,-47.5,,-3.9,-77.6,제이케이시냅스
060230.KQ,2026-01-22,576.0,베이스(완만),98.0,-36.0,-14.6,,,47.6,-57.8,제이케이시냅스
060230.KQ,2026-05-14,471.0,베이스(완만),99.0,-44.2,,,,3.8,-48.4,제이케이시냅스
000890.KS,2023-09-25,2880.0,베이스(완만),69.0,-13.2,-4.0,-12.0,-23.6,-0.7,-25.5,보해양조
000890.KS,2023-11-16,2745.0,베이스(완만),70.0,3.1,-3.3,-10.6,-16.8,4.2,-27.5,보해양조
000890.KS,2024-11-20,2855.0,베이스근접,76.0,-12.4,-18.0,-13.3,-22.9,-3.0,-27.5,보해양조
006910.KQ,2023-08-28,3375.0,베이스(완만),65.0,-4.9,-12.0,-5.2,-14.1,25.2,-21.6,보성파워텍
006910.KQ,2024-05-07,3710.0,베이스(완만),64.0,-4.7,-11.3,-18.1,-18.7,13.9,-38.8,보성파워텍
006910.KQ,2024-07-10,3995.0,베이스(완만),61.0,-26.2,-23.8,-34.4,-21.2,-0.8,-43.2,보성파워텍
006910.KQ,2024-09-12,3580.0,베이스(완만),70.0,-12.2,-30.2,-23.5,27.9,36.0,-36.6,보성파워텍
003280.KS,2023-06-20,1886.0,베이스(완만),81.0,31.0,-10.8,13.5,32.6,147.1,-20.3,흥아해운
