ticker,date,ratio,dollar_surge_x,avg_dollar_vol_M,dollar_vol_M,intraday_chg_%,gap_%,close_pos,range_%,price,prior7_%,up_streak,fwd_oc_net_%
TOON,2026-06-09,38.3746170270821,6.404089014411688,1.5896445677032418,10.180225312847547,-6.525000000000003,9.769484083424814,0.18742857142857167,21.875000000000007,0.7478,5.279459383359142,1,18.36111111111111
TOP,2026-05-18,19.823099883013093,30.207714984968266,0.03547172481288179,1.07151975317276,42.49567186043415,-8.303822200512876,0.7105321754620354,59.80823012385137,1.07,38.064516129032256,2,-8.372549019607849
TOPP,2026-06-09,21.531455004652297,1.871639762656723,2.084182856765612,3.90083950737,32.352941176470594,3.030303030303033,0.29203539823008856,110.78431372549018,1.35,-47.058823529411754,1,11.321138211382108
TOPS,2026-05-14,19.84417851262193,9.68267951749702,0.2302861101634985,2.2297866020441695,-45.70285714285714,0.0,0.0001250156269534942,45.70857142857143,0.9502,-57.004524886877824,0,-6.27358490566038
TOPS,2026-05-15,102.41236337065136,40.9518470337156,0.4488270034541154,18.380294790053878,-3.7735849056603805,11.555462007998317,0.10588235294117644,80.18867924528301,1.02,-52.55813953488372,1,-5.091836734693875
TOPS,2026-06-02,38.378675490701575,28.848228283240708,0.42524682221365134,12.26761740394209,22.12564638574101,-1.7299167477565154,1.0,22.12564638574101,1.11,17.834394904458616,2,-12.584033613445369
TOPS,2026-06-03,33.628278505612435,7.259182272696451,1.5121321055992867,10.9768425749415,-10.084033613445369,7.207207207207193,0.21052631578947392,23.94957983193277,1.07,7.117829612573834,0,7.074468085106393
TOVX,2026-06-11,282.305740926421,249.8572598337288,0.3564225160820153,89.05475321129548,-19.210526315789476,56.05749486652978,0.1616405307599517,43.631578947368425,0.307,7.342657342657355,2,4.321378340365693
TPET,2026-06-10,15.326996602857994,9.41284824970224,1.1728957525516148,11.040289731488658,11.151481274455,1.3310676862078679,0.6295774647887326,19.843487982112915,0.3977,-0.5750000000000033,1,-10.430574098798399
TRAD,2026-05-15,10.873222498364566,3.0931338192790325,1.9923321265954883,6.162549880008619,0.0,0.0,1.0,0.3018108651911404,9.94,0.3027245206861595,0,-2.2979797979798025
TRAW,2026-05-11,187.87420211502229,,,52.2695722873162,-9.009009009009016,1.8348623853211024,0.043478260869565175,56.981981981981974,2.02,41.258741258741274,0,-17.651515151515156
TRAW,2026-05-12,19.738832397753786,,,4.567317142434479,-15.151515151515154,-1.980198019801982,0.0,16.161616161616166,1.68,12.751677852348987,0,4.332298136645955
TRAW,2026-06-15,15.052039821835592,8.69138527138688,0.42560694839370194,3.6991139626689367,-30.660550458715598,-14.843749999999995,0.2517391304347826,42.201834862385326,0.7558,-48.93243243243243,0,7.4592158926457035
TRNR,2026-05-19,188.06871327123787,217.49257337730103,0.1205472659922697,26.21813509425674,6.1705035214968955,-10.254716981132077,0.8383968972204265,32.52391464311994,1.01,19.526627218934923,0,-0.5582524271844644
TRNR,2026-05-20,12.083936280807679,0.809412039418261,2.7305005469661516,2.21010001635255,1.9417475728155356,1.980198019801982,0.15789473684210545,18.446601941747566,1.05,20.13729977116705,1,1.4501039501039537
TRNR,2026-05-21,68.71258082648332,4.408107572976186,2.943507622258541,12.975298240791,3.9501039501039537,-8.380952380952387,0.6666666666666665,26.819126819126833,1.0,15.915150110119392,0,-13.026315789473681
TURB,2026-05-28,14.480256534650934,8.903938970475476,0.47433497403276403,4.2234496603498,30.27522935779815,3.809523809523813,0.8296836982968369,37.706422018348626,1.42,4.411764705882337,1,-3.9388489208632946
TURB,2026-06-03,18.569545889931412,14.750025260233947,0.826094764775065,12.18491864777923,8.124999999999993,7.382550335570476,0.5882352941176467,21.250000000000004,1.73,46.61016949152543,1,-1.357142857142856
TUYA,2026-06-11,13.685125173557655,11.533967019877911,1.8511433999860878,21.3510269245042,14.583333333333348,0.0,0.9264705882352944,17.708333333333336,2.2,5.2631578947368585,2,-9.873271889400929
TWAV,2026-05-18,19.051763475870615,3.2442125856752937,0.6738488041642791,2.1861087713120004,3.947368421052635,4.109589041095894,0.8333333333333336,35.526315789473685,1.58,-11.731843575418988,1,14.288321167883208
TWAV,2026-06-03,99.29604694838117,81.36531284794134,0.136752737717342,11.126929287184,-2.739726027397263,0.6896551724137937,0.32432432432432373,12.671232876712319,1.42,-2.73972602739726,0,-30.625
TWAV,2026-06-04,665.4124435618377,70.64718505128054,1.212569205201342,85.66460102734338,-28.125,57.74647887323946,0.030000000000000027,44.64285714285714,1.61,8.783783783783793,1,-7.584745762711869
TWAV,2026-06-05,19.538663740296865,0.38039712171052253,9.76611891088648,3.71500352398392,-5.084745762711869,9.937888198757758,0.6153846153846151,14.689265536723164,1.68,18.309859154929576,2,-5.605590062111804
UAVS,2026-05-28,16.189523537507068,17.013399837297165,1.9049609121054478,32.40986167207229,-0.8333333333333341,13.20754716981131,0.1851851851851845,11.250000000000002,1.19,21.42857142857142,5,-4.180672268907564
UBXG,2026-06-11,21.382024671995723,31.94874154418079,0.35796061327895207,11.43639111664569,44.71299093655589,2.1604938271604888,0.8444444444444443,54.38066465256798,4.79,59.661344621845934,2,27.79801324503311
